ID,dr_doi,primary,rel_pub_url,rel_pub_has_ref,journal_name,publisher,date published
17,doi:10.5066/P94J36GC,TRUE,https://doi.org/10.3133/ofr20191054,FALSE,"Sea-cliff bedstraw (Galium buxifolium) patterns and trends, 2005–14, on Santa Cruz and San Miguel Islands, Channel Islands National Park, California",US Geological Survey,{'date-parts': [[2019]]}
18,doi:10.5066/F7639MVK,TRUE,https://doi.org/10.1111/1365-2745.12901,TRUE,Direct and indirect controls on organic matter decomposition in four coastal wetland communities along a landscape salinity gradient,Wiley,"{'date-parts': [[2017, 12, 14]]}"
19,doi:10.5066/P9SS1DJW,TRUE,https://doi.org/10.3133/ofr20181123,FALSE,"Effects of proposed navigation channel improvements on sediment transport in Mobile Harbor, Alabama",US Geological Survey,{'date-parts': [[2018]]}
20,doi:10.5066/F7T43SDG,TRUE,https://doi.org/10.1111/cobi.12569,TRUE,Effects of wind-energy facilities on breeding grassland bird distributions,Wiley,"{'date-parts': [[2015, 7, 24]]}"
21,doi:10.5066/P9AKBIK9,TRUE,https://doi.org/10.1002/nafm.10373,TRUE,Semiautomated Process for Enumeration of Fishes from Recreational‐Grade Side‐Scan Sonar Imagery,Wiley,
22,doi:10.5066/F7F18XZR,TRUE,https://doi.org/10.1016/j.ecss.2018.01.006,FALSE,Climate-related variation in plant peak biomass and growth phenology across Pacific Northwest tidal marshes,Elsevier BV,
23,doi:10.5066/F73X8556,TRUE,https://doi.org/10.1111/1752-1688.12603,TRUE,Characterizing Uncertainty in Daily Streamflow Estimates at Ungauged Locations for the Massachusetts Sustainable Yield Estimator,Wiley,"{'date-parts': [[2017, 11, 17]]}"
24,doi:10.5066/P9EBB1LG,TRUE,https://doi.org/10.1186/s13071-019-3545-1,TRUE,Prevalence and diversity of avian blood parasites in a resident northern passerine,Springer Science and Business Media LLC,"{'date-parts': [[2019, 6, 10]]}"
25,doi:10.5066/F77P8WH6,TRUE,https://doi.org/10.3390/rs8110901,TRUE,Differential Heating in the Indian Ocean Differentially Modulates Precipitation in the Ganges and Brahmaputra Basins,MDPI AG,"{'date-parts': [[2016, 10, 31]]}"
26,doi:10.5066/F7JD4TX8,TRUE,https://doi.org/10.3133/pp1832,FALSE,"Eruptive history, geochronology, and post-eruption structural evolution of the late Eocene Hall Creek Caldera, Toiyabe Range, Nevada",US Geological Survey,{'date-parts': [[2017]]}
27,doi:10.5066/F7GM86GZ,TRUE,https://doi.org/10.1007/s10592-018-1115-2,TRUE,Characterizing range-wide divergence in an alpine-endemic bird: a comparison of genetic and genomic approaches,Springer Science and Business Media LLC,"{'date-parts': [[2018, 10, 17]]}"
28,doi:10.5066/F7MW2F8W,TRUE,https://doi.org/10.3133/sir20185039,FALSE,Compilation and assessment of resource values and hazards to inform transportation planning and associated land-use planning,US Geological Survey,{'date-parts': [[2018]]}
29,doi:10.5066/F7VQ30S2,TRUE,https://doi.org/10.3133/sir20185094,FALSE,"Flow hydraulics and mixing characteristics in and downstream from Brandon Road Lock, Joliet, Illinois",US Geological Survey,{'date-parts': [[2018]]}
30,doi:10.5066/F7D50K3F,TRUE,https://doi.org/10.3133/sir20185124,FALSE,"Concentrations of nutrients at the water table beneath forage fields receiving seasonal applications of manure, Whatcom County, Washington, autumn 2011–spring 2015",US Geological Survey,{'date-parts': [[2018]]}
31,doi:10.5066/F7833QZH,TRUE,https://doi.org/10.1016/j.ecoser.2019.100945,FALSE,Using social-context matching to improve spatial function-transfer performance for cultural ecosystem service models,Elsevier BV,
32,doi:10.5066/F7X0655K,TRUE,https://doi.org/10.1111/gcb.13462,TRUE,Projected shifts in fish species dominance in Wisconsin lakes under climate change,Wiley,"{'date-parts': [[2016, 9, 8]]}"
33,doi:10.5066/F71J97WD,TRUE,https://doi.org/10.1139/cjfas-2016-0365,TRUE,Deleterious effects of net clogging on the quantification of stream drift,Canadian Science Publishing,
34,doi:10.5066/F77M0754,TRUE,https://doi.org/10.1016/j.hydroa.2018.100005,FALSE,Probability of Streamflow Permanence Model (PROSPER): A spatially continuous model of annual streamflow permanence throughout the Pacific Northwest,Elsevier BV,
35,doi:10.5066/P9TPJ9R9,TRUE,https://doi.org/10.1002/asi.22988,TRUE,Managing scientific data as public assets: Data sharing practices and policies among full-time government employees,Wiley,"{'date-parts': [[2013, 11, 26]]}"
36,doi:10.5066/F7HX19VW,TRUE,https://doi.org/10.1111/1752-1688.12551,TRUE,A Comparison of Three Federal Datasets for Thermoelectric Water Withdrawals in the United States for 2010,Wiley,"{'date-parts': [[2017, 8, 9]]}"
37,doi:10.5066/P9NMXM5B,TRUE,https://doi.org/10.3133/sir20195011,FALSE,"Hydrologic and hydraulic analyses of selected streams in Richland County, Ohio",US Geological Survey,{'date-parts': [[2019]]}
38,doi:10.5066/F7PG1PT2,TRUE,https://doi.org/10.1002/wsb.758,TRUE,Variable terrestrial GPS telemetry detection rates: Addressing the probability of successful acquisitions,Wiley,"{'date-parts': [[2017, 4, 27]]}"
39,doi:10.5066/F73J3C50,TRUE,https://doi.org/10.3133/sir20185145,FALSE,"Catchment-level estimates of nitrogen and phosphorus agricultural use from commercial fertilizer sales for the conterminous United States, 2012",US Geological Survey,{'date-parts': [[2019]]}
40,doi:10.5066/F7R78CF8,TRUE,https://doi.org/10.3133/sim3380,FALSE,"Map of the approximate inland extent of saltwater at the base of the Biscayne aquifer in the Model Land Area of Miami-Dade County, Florida, 2016",US Geological Survey,{'date-parts': [[2017]]}
41,doi:10.5066/F7J964HB,TRUE,https://doi.org/10.3133/sir20175064,FALSE,"Bathymetry of Ashokan, Cannonsville, Neversink, Pepacton, Rondout, and Schoharie Reservoirs, New York, 2013–15",US Geological Survey,{'date-parts': [[2018]]}
42,doi:10.5066/F79S1QBW,TRUE,https://doi.org/10.3133/sir20185101,FALSE,"Status of groundwater-level altitudes and long-term groundwater-level changes in the Chicot, Evangeline, and Jasper aquifers, Houston-Galveston region, Texas, 2018",US Geological Survey,{'date-parts': [[2018]]}
43,doi:10.5066/P9A93HRF,TRUE,https://doi.org/10.1186/s40462-017-0115-z,TRUE,"Quantifying animal movement for caching foragers: the path identification index (PII) and cougars, Puma concolor",Springer Science and Business Media LLC,"{'date-parts': [[2017, 11, 23]]}"
44,doi:10.5066/P979FAZK,TRUE,https://doi.org/10.1016/j.envpol.2018.09.005,FALSE,Mercury and lead exposure in avian scavengers from the Pacific Northwest suggest risks to California condors: Implications for reintroduction and recovery,Elsevier BV,
45,doi:10.5066/F7QJ7G77,TRUE,https://doi.org/10.3391/mbi.2017.8.3.10,FALSE,Management implications of broadband sound in modulating wild silver carp (Hypophthalmichthys molitrix) behavior,Regional Euro-Asian Biological Invasions Centre Oy (REABIC),{'date-parts': [[2017]]}
46,doi:10.5066/F7ZC81T9,TRUE,https://doi.org/10.1002/ecy.2166,TRUE,Inferring species interactions through joint mark-recapture analysis,Wiley,"{'date-parts': [[2018, 2, 21]]}"
47,doi:10.5066/P9L3W3MX,TRUE,https://doi.org/10.1002/ecy.2166,TRUE,Inferring species interactions through joint mark-recapture analysis,Wiley,"{'date-parts': [[2018, 2, 21]]}"
48,doi:10.5066/F7ST7P39,TRUE,https://doi.org/10.3133/fs20153067,FALSE,"Development of an Assessment Tool for Agricultural Best Management Practice Iimplementation in the Great Lakes Restoration Initiative Priority Watersheds—Alger Creek, Tributary to Saginaw River, Michigan",US Geological Survey,{'date-parts': [[2015]]}
49,doi:10.5066/P9XUYMQT,TRUE,https://doi.org/10.1016/j.scitotenv.2018.06.150,FALSE,"Pharmaceuticals, hormones, pesticides, and other bioactive contaminants in water, sediment, and tissue from Rocky Mountain National Park, 2012–2013",Elsevier BV,
50,doi:10.5066/P9GDWR0C,TRUE,https://doi.org/10.1016/j.oregeorev.2019.102966,FALSE,Crustal architecture beneath the southern Midcontinent (USA) and controls on Mesoproterozoic iron-oxide mineralization from 3D geophysical models,Elsevier BV,
51,doi:10.5066/F7HD7SRF,TRUE,https://doi.org/10.3133/sir20105247,FALSE,Re-analysis of Alaskan benchmark glacier mass-balance data using the index method,US Geological Survey,{'date-parts': [[2010]]}
52,doi:10.5066/F70863CT,TRUE,https://doi.org/10.3133/sir20115167,FALSE,"Sources, fate, and transport of nitrogen and phosphorus in the Chesapeake Bay watershed-An empirical model",US Geological Survey,{'date-parts': [[2011]]}
53,doi:10.5066/F7ST7NCG,TRUE,https://doi.org/10.1371/journal.pone.0180791,TRUE,A validation of 11 body-condition indices in a giant snake species that exhibits positive allometry,Public Library of Science (PLoS),"{'date-parts': [[2017, 7, 19]]}"
54,doi:10.5066/F7NS0RZ3,TRUE,https://doi.org/10.3133/sir20165176,FALSE,"Trends in the quality of water in New Jersey streams, water years 1971–2011",US Geological Survey,{'date-parts': [[2017]]}
55,doi:10.5066/P9DV375U,TRUE,https://doi.org/10.3389/fenvs.2019.00126,TRUE,Monarch Habitat as a Component of Multifunctional Landscape Restoration Using Continuous Riparian Buffers,Frontiers Media SA,"{'date-parts': [[2019, 8, 30]]}"
56,doi:10.5066/F7S181SV,TRUE,https://doi.org/10.1111/jofo.12243,TRUE,Population estimates of the Endangered Hawaiʻi ʻĀkepa (Loxops coccineus) in different habitats on windward Mauna Loa,Wiley,"{'date-parts': [[2018, 3, 15]]}"
57,doi:10.5066/F7GH9G5K,TRUE,https://doi.org/10.3133/sir2019XXXX,,,,
58,doi:10.5066/F7QF8R16,TRUE,https://doi.org/10.1007/s10661-017-5765-1,TRUE,"Pre-mining trace element and radiation exposure to biota from a breccia pipe uranium mine in the Grand Canyon (Arizona, USA) watershed",Springer Science and Business Media LLC,"{'date-parts': [[2017, 1, 13]]}"
59,doi:10.5066/F7TD9VFS,TRUE,https://doi.org/10.1016/j.limno.2017.02.005,FALSE,Shallow bedrock limits groundwater seepage-based headwater climate refugia,Elsevier BV,
60,doi:10.5066/P9HQDP8O,TRUE,https://doi.org/10.1007/s12237-019-00552-y,TRUE,Restoration Affects Sexual Reproductive Capacity in a Salt Marsh,Springer Science and Business Media LLC,"{'date-parts': [[2019, 4, 1]]}"
61,doi:10.5066/F7F47MBM,TRUE,https://doi.org/10.3133/ofr20151188A,FALSE,Strategy to evaluate persistent contaminant hazards resulting from sea-level rise and storm-derived disturbances—Study design and methodology for station prioritization,US Geological Survey,{'date-parts': [[2015]]}
62,doi:10.5066/F71835Q9,TRUE,https://doi.org/10.3133/ofr20181029,FALSE,"Suspended-sediment transport from the Green-Duwamish River to the Lower Duwamish Waterway, Seattle, Washington, 2013–17",US Geological Survey,{'date-parts': [[2018]]}
63,doi:10.5066/F70G3HWF,TRUE,https://doi.org/10.3133/sir20175117,FALSE,"River meander modeling of the Wabash River near the Interstate 64 Bridge near Grayville, Illinois",US Geological Survey,{'date-parts': [[2018]]}
64,doi:10.5066/F7FJ2FR5,TRUE,https://doi.org/10.3133/ofr20181065,FALSE,"Streamflow, water quality, and constituent loads and yields, Scituate Reservoir Drainage Area, Rhode Island, water year 2015",US Geological Survey,{'date-parts': [[2018]]}
65,doi:10.5066/F75X2721,TRUE,https://doi.org/10.3133/sir20165148,FALSE,Mechanisms of aquatic species invasions across the South Atlantic Landscape Conservation Cooperative region,US Geological Survey,{'date-parts': [[2016]]}
66,doi:10.5066/F7G15Z0S,TRUE,https://doi.org/10.3133/ofr20161157,FALSE,"Bathymetric survey and estimation of storage capacity of lower Sixmile Creek reservoir, Ithaca, New York",US Geological Survey,{'date-parts': [[2016]]}
67,doi:10.5066/F7PV6HJ3,TRUE,https://doi.org/10.3133/sir20175028,FALSE,"Geophysics- and geochemistry-based assessment of the geochemical characteristics and groundwater-flow system of the U.S. part of the Mesilla Basin/Conejos-Médanos aquifer system in Doña Ana County, New Mexico, and El Paso County, Texas, 2010–12",US Geological Survey,{'date-parts': [[2017]]}
68,doi:10.5066/P9052ULY,TRUE,"https://doi.org/10.3133/SIR2019XXXX,",,,,
69,doi:10.5066/F7FB5129,TRUE,https://doi.org/10.3133/ds1016,FALSE,"Toxicity of bed sediments from the Niagara River Area of Concern and tributaries, New York, to <i>Chironomus dilutus</i> and <i>Hyalella azteca</i>, 2014-15",US Geological Survey,{'date-parts': [[2016]]}
70,doi:10.5066/F75T3JDK,TRUE,https://doi.org/10.3133/sir20175110,FALSE,"Baseline assessment of groundwater quality in Pike County, Pennsylvania, 2015",US Geological Survey,{'date-parts': [[2017]]}
71,doi:10.5066/F79K48C1,TRUE,https://doi.org/10.3133/sir20175005,FALSE,Characterization of peak streamflows and flood inundation of selected areas in Louisiana from the August 2016 flood,US Geological Survey,{'date-parts': [[2017]]}
72,doi:10.5066/F7BK1B8P,TRUE,https://doi.org/10.1016/j.jip.2017.07.005,FALSE,"Relative abundance of deformed wing virus, Varroa destructor virus 1, and their recombinants in honey bees (Apis mellifera) assessed by kmer analysis of public RNA-Seq data",Elsevier BV,
73,doi:10.5066/P9OZVGEG,TRUE,https://doi.org/10.3133/ofr20181067,FALSE,"Golden eagle (Aquila chrysaetos) habitat selection as a function of land use and terrain, San Diego County, California",US Geological Survey,{'date-parts': [[2018]]}
74,doi:10.5066/F7HM56J1,TRUE,https://doi.org/10.1371/journal.pone.0167926,TRUE,Ground Squirrel Shooting and Potential Lead Exposure in Breeding Avian Scavengers,Public Library of Science (PLoS),"{'date-parts': [[2016, 12, 12]]}"
75,doi:10.5066/F78C9TDM,TRUE,https://doi.org/10.1002/ecm.1248,TRUE,"Climatic controls on the global distribution, abundance, and species richness of mangrove forests",Wiley,"{'date-parts': [[2017, 3, 8]]}"
76,doi:10.5066/F7WM1BH4,TRUE,https://doi.org/10.1093/biosci/biw059,TRUE,"Flow Management for Hydropower Extirpates Aquatic Insects, Undermining River Food Webs",Oxford University Press (OUP),"{'date-parts': [[2016, 5, 2]]}"
77,doi:10.5066/F74J0DDQ,TRUE,https://doi.org/10.3133/sir20185119,FALSE,"Land-cover changes associated with oil and natural-gas production and concentrations of selected constituents in surface-water and streambed-sediment samples collected upstream from and within an area of oil and natural-gas production, south Texas, 2008–17",US Geological Survey,{'date-parts': [[2018]]}
78,doi:10.5066/F7ZW1J08,TRUE,https://doi.org/10.1016/j.envsoft.2016.04.002,FALSE,Parallelization of the TRIGRS model for rainfall-induced landslides using the message passing interface,Elsevier BV,
79,doi:10.5066/P97OSO15,TRUE,https://doi.org/10.1111/jvs.12704,TRUE,Regeneration ofMetrosideros polymorphaforests in Hawaii after landscape‐level canopy dieback,Wiley,"{'date-parts': [[2019, 2, 11]]}"
80,doi:10.5066/F7639MZX,TRUE,https://doi.org/10.3133/cir1433,FALSE,Agriculture — A river runs through it — The connections between agriculture and water quality,US Geological Survey,{'date-parts': [[2018]]}
81,doi:10.5066/F78W3BC8,TRUE,https://doi.org/10.1111/1365-2656.12511,TRUE,"Host contact and shedding patterns clarify variation in pathogen exposure and transmission in threatened tortoise
            Gopherus agassizii
            : implications for disease modelling and management",Wiley,"{'date-parts': [[2016, 4, 10]]}"
82,doi:10.5066/P93NZA95,TRUE,https://doi.org/10.5194/bg-14-1739-2017,TRUE,Divergence of seafloor elevation and sea level rise in coral reef ecosystems,Copernicus GmbH,"{'date-parts': [[2017, 4, 20]]}"
83,doi:10.5066/P9TFVXR5,TRUE,https://doi.org/10.1016/j.gca.2019.12.032,FALSE,"Zircon-hosted melt inclusion record of silicic magmatism in the Mesoproterozoic St. Francois Mountains terrane, Missouri: Origin of the Pea Ridge iron oxide-apatite-rare earth element deposit and implications for regional crustal pathways of mineralization",Elsevier BV,
84,doi:10.5066/F7WQ01T3,TRUE,https://doi.org/10.3133/ofr20151123,FALSE,User’s guide to the North Pacific Pelagic Seabird Database 2.0,US Geological Survey,{'date-parts': [[2015]]}
85,doi:10.5066/P9A9LA1O,TRUE,https://doi.org/10.1670/18-049,FALSE,Time-to-Detection Occupancy Modeling: An Efficient Method for Analyzing the Occurrence of Amphibians and Reptiles,Society for the Study of Amphibians and Reptiles,
86,doi:10.5066/F7FX77JP,TRUE,https://doi.org/10.3133/ds1022,FALSE,"Continued geophysical logging near the GMH Electronics National Priorities List Superfund site near Roxboro, North Carolina",US Geological Survey,{'date-parts': [[2017]]}
87,doi:10.5066/F7XG9PB0,TRUE,https://doi.org/10.3133/ofr20171078,FALSE,"Description of gravity cores from San Pablo Bay and Carquinez Strait, San Francisco Bay, California",US Geological Survey,{'date-parts': [[2017]]}
88,doi:10.5066/F7TT4Q5S,TRUE,https://doi.org/10.1002/eap.1690,TRUE,"A conservation planning tool for Greater Sage-grouse using indices of species distribution, resilience, and resistance",Wiley,"{'date-parts': [[2018, 5, 21]]}"
89,doi:10.5066/P9DMIFMW,TRUE,https://doi.org/10.1029/2019GL085636,TRUE,Anatomy of a Caldera Collapse: Kīlauea 2018 Summit Seismicity Sequence in High Resolution,American Geophysical Union (AGU),"{'date-parts': [[2019, 12, 21]]}"
90,doi:10.5066/F7X06561,TRUE,https://doi.org/10.3133/ds817,FALSE,Onshore industrial wind turbine locations for the United States,US Geological Survey,{'date-parts': [[2017]]}
91,doi:10.5066/P93UCQR2,TRUE,https://doi.org/10.1016/j.ecolmodel.2013.05.005,FALSE,Development of a Fluvial Egg Drift Simulator to evaluate the transport and dispersion of Asian carp eggs in rivers,Elsevier BV,
92,doi:10.5066/P9JMC8CX,TRUE,https://doi.org/10.5194/bg-14-1739-2017,TRUE,Divergence of seafloor elevation and sea level rise in coral reef ecosystems,Copernicus GmbH,"{'date-parts': [[2017, 4, 20]]}"
93,doi:10.5066/F7ZG6QFX,TRUE,https://doi.org/10.3133/sir20175016,FALSE,"Occurrence of cyanobacteria, microcystin, and taste-and-odor compounds in Cheney Reservoir, Kansas, 2001-16",US Geological Survey,{'date-parts': [[2017]]}
94,doi:10.5066/F77080NB,TRUE,https://doi.org/10.3133/sir20195058,FALSE,"Controls on spatial and temporal variations of brine discharge to the Dolores River in the Paradox Valley, Colorado, 2016–18",US Geological Survey,{'date-parts': [[2019]]}
95,doi:10.5066/P9GFLBG8,TRUE,https://doi.org/10.3133/sir20195106,FALSE,"Spatially referenced models of streamflow and nitrogen, phosphorus, and suspended-sediment transport in streams of the southwestern United States",US Geological Survey,{'date-parts': [[2019]]}
96,doi:10.5066/F70Z728B,TRUE,https://doi.org/10.1002/ece3.4196,TRUE,"Sea‐level rise, habitat loss, and potential extirpation of a salt marsh specialist bird in urbanized landscapes",Wiley,"{'date-parts': [[2018, 7, 22]]}"
97,doi:10.5066/P9VCPQ3I,TRUE,https://doi.org/10.1029/2018GC008152,TRUE,Modeling Ash Dispersal From Future Eruptions of Taupo Supervolcano,American Geophysical Union (AGU),"{'date-parts': [[2019, 7, 16]]}"
98,doi:10.5066/F7R2109J,TRUE,https://doi.org/10.3133/ds1067,FALSE,"California sea otter (Enhydra lutris nereis) census results, Spring 2017",US Geological Survey,{'date-parts': [[2017]]}
99,doi:10.5066/F7JW8C04,TRUE,https://doi.org/10.1016/j.limno.2017.02.005,FALSE,Shallow bedrock limits groundwater seepage-based headwater climate refugia,Elsevier BV,
100,doi:10.5066/P9Y4GOFQ,TRUE,https://doi.org/10.1021/acs.est.8b04055,FALSE,"Elevated Manganese Concentrations in United States Groundwater, Role of Land Surface–Soil–Aquifer Connections",American Chemical Society (ACS),"{'date-parts': [[2018, 12, 12]]}"
101,doi:10.5066/F7Z31XND,TRUE,https://doi.org/10.1016/j.foreco.2017.10.053,FALSE,Patterns and correlates of giant sequoia foliage dieback during California’s 2012–2016 hotter drought,Elsevier BV,
102,doi:10.5066/P9NQNH41,TRUE,https://doi.org/10.1111/gcb.14728,TRUE,Integrating anthropogenic factors into regional‐scale species distribution models—A novel application in the imperiled sagebrush biome,Wiley,"{'date-parts': [[2019, 7, 8]]}"
103,doi:10.5066/F7QV3KD9,TRUE,https://doi.org/10.3133/sir20175131,FALSE,An evaluation of the zooplankton community at the Sheboygan River Area of Concern and non-Area of Concern comparison sites in western Lake Michigan rivers and harbors in 2016,US Geological Survey,{'date-parts': [[2017]]}
104,doi:10.5066/P9LYUFRH,TRUE,https://doi.org/10.3133/ofr20191040,FALSE,Identification of single nucleotide polymorphisms for use in a genetic stock identification system for greater white-fronted goose (Anser albifrons) subspecies wintering in California,US Geological Survey,{'date-parts': [[2019]]}
105,doi:10.5066/F7ZG6QQH,TRUE,https://doi.org/10.1002/jwmg.21499,TRUE,Western gray squirrel resource selection related to fire fuel management,Wiley,"{'date-parts': [[2018, 6, 8]]}"
106,doi:10.5066/F7BV7FSP,TRUE,https://doi.org/10.1016/j.hydroa.2018.100005,FALSE,Probability of Streamflow Permanence Model (PROSPER): A spatially continuous model of annual streamflow permanence throughout the Pacific Northwest,Elsevier BV,
107,doi:10.5066/F75D8PZ5,TRUE,https://doi.org/10.1016/j.rama.2015.09.004,FALSE,Rangeland Monitoring Reveals Long-term Plant Responses to Precipitation and Grazing at the Landscape Scale,Elsevier BV,
108,doi:10.5066/F7HT2N96,TRUE,https://doi.org/10.3390/rs10060935,TRUE,Sampling Strategies to Improve Passive Optical Remote Sensing of River Bathymetry,MDPI AG,"{'date-parts': [[2018, 6, 13]]}"
109,doi:10.5066/P9NAUIQR,TRUE,https://doi.org/10.1007/s10021-019-00413-6,TRUE,Permafrost Hydrology Drives the Assimilation of Old Carbon by Stream Food Webs in the Arctic,Springer Science and Business Media LLC,"{'date-parts': [[2019, 9, 3]]}"
110,doi:10.5066/F7HD7SW7,TRUE,https://doi.org/10.1038/nature22065,TRUE,"A 130,000-year-old archaeological site in southern California, USA",Springer Science and Business Media LLC,"{'date-parts': [[2017, 4, 27]]}"
111,doi:10.5066/F7VM4BJD,TRUE,https://doi.org/10.3133/sir20185132,FALSE,"Flood-inundation maps for the Salamonie River at Portland, Indiana",US Geological Survey,{'date-parts': [[2018]]}
112,doi:10.5066/F74T6GGG,TRUE,https://doi.org/10.3133/sir20165124,FALSE,"FishVis, A regional decision support tool for identifying vulnerabilities of riverine habitat and fishes to climate change in the Great Lakes Region",US Geological Survey,{'date-parts': [[2016]]}
113,doi:10.5066/F7FX77K4,TRUE,https://doi.org/10.3133/sim3377,FALSE,"Predicted pH at the domestic and public supply drinking water depths, Central Valley, California",US Geological Survey,{'date-parts': [[2017]]}
114,doi:10.5066/P9V4A2GV,TRUE,https://doi.org/10.1002/ece3.5277,TRUE,Seeking shelter from the storm: Conservation and management of imperiled species in a changing climate,Wiley,"{'date-parts': [[2019, 5, 30]]}"
115,doi:10.5066/F7G73D0G,TRUE,https://doi.org/10.3133/sir20185128,FALSE,"Characterizing variability in vertical profiles of streamwise velocity and implications for streamgaging practices in the Chicago Sanitary and Ship Canal near Lemont, Illinois, January 2014 to July 2017",US Geological Survey,{'date-parts': [[2018]]}
116,doi:10.5066/F7K35SJH,TRUE,https://doi.org/10.1016/j.agrformet.2017.11.004,FALSE,Using a Bayesian framework to account for advection in seven years of snowpack CO2 fluxes in a mortality-impacted subalpine forest,Elsevier BV,
117,doi:10.5066/F71N7ZMS,TRUE,https://doi.org/10.3133/sir20175101,FALSE,"Bathymetric surveys of the Neosho River, Spring River, and Elk River, northeastern Oklahoma and southwestern Missouri, 2016–17",US Geological Survey,{'date-parts': [[2017]]}
118,doi:10.5066/P9RW8Y2A,TRUE,https://doi.org/10.3133/fs20193003,FALSE,The Mississippi Alluvial Plain aquifers—An engine for economic activity,US Geological Survey,{'date-parts': [[2019]]}
119,doi:10.5066/F7319T3K,TRUE,https://doi.org/10.1016/j.scitotenv.2018.05.333,FALSE,"Quantifying anthropogenic contributions to century-scale groundwater salinity changes, San Joaquin Valley, California, USA",Elsevier BV,
120,doi:10.5066/P9C2S6DQ,TRUE,https://doi.org/10.1007/s10646-019-02052-y,TRUE,Songbird feathers as indicators of mercury exposure: high variability and low predictive power suggest limitations,Springer Science and Business Media LLC,"{'date-parts': [[2019, 5, 21]]}"
