has_refs,has_title,title,publisher,pub_year,dr_doi_cited,rel_pub_url,dr_doi
FALSE,TRUE,"Eruptive history, geochronology, and post-eruption structural evolution of the late Eocene Hall Creek Caldera, Toiyabe Range, Nevada",US Geological Survey,2017,,https://doi.org/10.3133/pp1832,doi:10.5066/F7JD4TX8
TRUE,TRUE,Characterizing range-wide divergence in an alpine-endemic bird: a comparison of genetic and genomic approaches,Springer Science and Business Media LLC,2018,FALSE,https://doi.org/10.1007/s10592-018-1115-2,doi:10.5066/F7GM86GZ
FALSE,TRUE,Compilation and assessment of resource values and hazards to inform transportation planning and associated land-use planning,US Geological Survey,2018,,https://doi.org/10.3133/sir20185039,doi:10.5066/F7MW2F8W
FALSE,TRUE,"Flow hydraulics and mixing characteristics in and downstream from Brandon Road Lock, Joliet, Illinois",US Geological Survey,2018,,https://doi.org/10.3133/sir20185094,doi:10.5066/F7VQ30S2
FALSE,TRUE,"Concentrations of nutrients at the water table beneath forage fields receiving seasonal applications of manure, Whatcom County, Washington, autumn 2011â€“spring 2015",US Geological Survey,2018,,https://doi.org/10.3133/sir20185124,doi:10.5066/F7D50K3F
FALSE,TRUE,Using social-context matching to improve spatial function-transfer performance for cultural ecosystem service models,Elsevier BV,,,https://doi.org/10.1016/j.ecoser.2019.100945,doi:10.5066/F7833QZH
TRUE,TRUE,Projected shifts in fish species dominance in Wisconsin lakes under climate change,Wiley,2016,FALSE,https://doi.org/10.1111/gcb.13462,doi:10.5066/F7X0655K
TRUE,TRUE,Deleterious effects of net clogging on the quantification of stream drift,Canadian Science Publishing,,FALSE,https://doi.org/10.1139/cjfas-2016-0365,doi:10.5066/F71J97WD
FALSE,TRUE,Probability of Streamflow Permanence Model (PROSPER): A spatially continuous model of annual streamflow permanence throughout the Pacific Northwest,Elsevier BV,,,https://doi.org/10.1016/j.hydroa.2018.100005,doi:10.5066/F77M0754
TRUE,TRUE,Managing scientific data as public assets: Data sharing practices and policies among full-time government employees,Wiley,2013,FALSE,https://doi.org/10.1002/asi.22988,doi:10.5066/P9TPJ9R9
TRUE,TRUE,A Comparison of Three Federal Datasets for Thermoelectric Water Withdrawals in the United States for 2010,Wiley,2017,FALSE,https://doi.org/10.1111/1752-1688.12551,doi:10.5066/F7HX19VW
FALSE,TRUE,"Hydrologic and hydraulic analyses of selected streams in Richland County, Ohio",US Geological Survey,2019,,https://doi.org/10.3133/sir20195011,doi:10.5066/P9NMXM5B
TRUE,TRUE,Variable terrestrial GPS telemetry detection rates: Addressing the probability of successful acquisitions,Wiley,2017,FALSE,https://doi.org/10.1002/wsb.758,doi:10.5066/F7PG1PT2
FALSE,TRUE,"Catchment-level estimates of nitrogen and phosphorus agricultural use from commercial fertilizer sales for the conterminous United States, 2012",US Geological Survey,2019,,https://doi.org/10.3133/sir20185145,doi:10.5066/F73J3C50
FALSE,TRUE,"Map of the approximate inland extent of saltwater at the base of the Biscayne aquifer in the Model Land Area of Miami-Dade County, Florida, 2016",US Geological Survey,2017,,https://doi.org/10.3133/sim3380,doi:10.5066/F7R78CF8
FALSE,TRUE,"Bathymetry of Ashokan, Cannonsville, Neversink, Pepacton, Rondout, and Schoharie Reservoirs, New York, 2013â€“15",US Geological Survey,2018,,https://doi.org/10.3133/sir20175064,doi:10.5066/F7J964HB
FALSE,TRUE,"Status of groundwater-level altitudes and long-term groundwater-level changes in the Chicot, Evangeline, and Jasper aquifers, Houston-Galveston region, Texas, 2018",US Geological Survey,2018,,https://doi.org/10.3133/sir20185101,doi:10.5066/F79S1QBW
TRUE,TRUE,"Quantifying animal movement for caching foragers: the path identification index (PII) and cougars, Puma concolor",Springer Science and Business Media LLC,2017,FALSE,https://doi.org/10.1186/s40462-017-0115-z,doi:10.5066/P9A93HRF
FALSE,TRUE,Mercury and lead exposure in avian scavengers from the Pacific Northwest suggest risks to California condors: Implications for reintroduction and recovery,Elsevier BV,,,https://doi.org/10.1016/j.envpol.2018.09.005,doi:10.5066/P979FAZK
FALSE,TRUE,Management implications of broadband sound in modulating wild silver carp (Hypophthalmichthys molitrix) behavior,Regional Euro-Asian Biological Invasions Centre Oy (REABIC),2017,,https://doi.org/10.3391/mbi.2017.8.3.10,doi:10.5066/F7QJ7G77
TRUE,TRUE,Inferring species interactions through joint mark-recapture analysis,Wiley,2018,FALSE,https://doi.org/10.1002/ecy.2166,doi:10.5066/F7ZC81T9
TRUE,TRUE,Inferring species interactions through joint mark-recapture analysis,Wiley,2018,FALSE,https://doi.org/10.1002/ecy.2166,doi:10.5066/P9L3W3MX
FALSE,TRUE,"Development of an Assessment Tool for Agricultural Best Management Practice Iimplementation in the Great Lakes Restoration Initiative Priority Watershedsâ€”Alger Creek, Tributary to Saginaw River, Michigan",US Geological Survey,2015,,https://doi.org/10.3133/fs20153067,doi:10.5066/F7ST7P39
FALSE,TRUE,"Pharmaceuticals, hormones, pesticides, and other bioactive contaminants in water, sediment, and tissue from Rocky Mountain National Park, 2012â€“2013",Elsevier BV,,,https://doi.org/10.1016/j.scitotenv.2018.06.150,doi:10.5066/P9XUYMQT
FALSE,TRUE,Crustal architecture beneath the southern Midcontinent (USA) and controls on Mesoproterozoic iron-oxide mineralization from 3D geophysical models,Elsevier BV,,,https://doi.org/10.1016/j.oregeorev.2019.102966,doi:10.5066/P9GDWR0C
FALSE,TRUE,Re-analysis of Alaskan benchmark glacier mass-balance data using the index method,US Geological Survey,2010,,https://doi.org/10.3133/sir20105247,doi:10.5066/F7HD7SRF
FALSE,TRUE,"Sources, fate, and transport of nitrogen and phosphorus in the Chesapeake Bay watershed-An empirical model",US Geological Survey,2011,,https://doi.org/10.3133/sir20115167,doi:10.5066/F70863CT
TRUE,TRUE,A validation of 11 body-condition indices in a giant snake species that exhibits positive allometry,Public Library of Science (PLoS),2017,FALSE,https://doi.org/10.1371/journal.pone.0180791,doi:10.5066/F7ST7NCG
FALSE,TRUE,"Trends in the quality of water in New Jersey streams, water years 1971â€“2011",US Geological Survey,2017,,https://doi.org/10.3133/sir20165176,doi:10.5066/F7NS0RZ3
TRUE,TRUE,Monarch Habitat as a Component of Multifunctional Landscape Restoration Using Continuous Riparian Buffers,Frontiers Media SA,2019,FALSE,https://doi.org/10.3389/fenvs.2019.00126,doi:10.5066/P9DV375U
TRUE,TRUE,Population estimates of the Endangered HawaiÊ»i Ê»Ä€kepa (Loxops coccineus) in different habitats on windward Mauna Loa,Wiley,2018,FALSE,https://doi.org/10.1111/jofo.12243,doi:10.5066/F7S181SV
,,,,,,,
TRUE,TRUE,"Pre-mining trace element and radiation exposure to biota from a breccia pipe uranium mine in the Grand Canyon (Arizona, USA) watershed",Springer Science and Business Media LLC,2017,FALSE,https://doi.org/10.1007/s10661-017-5765-1,doi:10.5066/F7QF8R16
FALSE,TRUE,Shallow bedrock limits groundwater seepage-based headwater climate refugia,Elsevier BV,,,https://doi.org/10.1016/j.limno.2017.02.005,doi:10.5066/F7TD9VFS
TRUE,TRUE,Restoration Affects Sexual Reproductive Capacity in a Salt Marsh,Springer Science and Business Media LLC,2019,FALSE,https://doi.org/10.1007/s12237-019-00552-y,doi:10.5066/P9HQDP8O
FALSE,TRUE,Strategy to evaluate persistent contaminant hazards resulting from sea-level rise and storm-derived disturbancesâ€”Study design and methodology for station prioritization,US Geological Survey,2015,,https://doi.org/10.3133/ofr20151188A,doi:10.5066/F7F47MBM
FALSE,TRUE,"Suspended-sediment transport from the Green-Duwamish River to the Lower Duwamish Waterway, Seattle, Washington, 2013â€“17",US Geological Survey,2018,,https://doi.org/10.3133/ofr20181029,doi:10.5066/F71835Q9
FALSE,TRUE,"River meander modeling of the Wabash River near the Interstate 64 Bridge near Grayville, Illinois",US Geological Survey,2018,,https://doi.org/10.3133/sir20175117,doi:10.5066/F70G3HWF
FALSE,TRUE,"Streamflow, water quality, and constituent loads and yields, Scituate Reservoir Drainage Area, Rhode Island, water year 2015",US Geological Survey,2018,,https://doi.org/10.3133/ofr20181065,doi:10.5066/F7FJ2FR5
FALSE,TRUE,Mechanisms of aquatic species invasions across the South Atlantic Landscape Conservation Cooperative region,US Geological Survey,2016,,https://doi.org/10.3133/sir20165148,doi:10.5066/F75X2721
FALSE,TRUE,"Bathymetric survey and estimation of storage capacity of lower Sixmile Creek reservoir, Ithaca, New York",US Geological Survey,2016,,https://doi.org/10.3133/ofr20161157,doi:10.5066/F7G15Z0S
FALSE,TRUE,"Geophysics- and geochemistry-based assessment of the geochemical characteristics and groundwater-flow system of the U.S. part of the Mesilla Basin/Conejos-MÃ©danos aquifer system in DoÃ±a Ana County, New Mexico, and El Paso County, Texas, 2010â€“12",US Geological Survey,2017,,https://doi.org/10.3133/sir20175028,doi:10.5066/F7PV6HJ3
,,,,,,,
FALSE,TRUE,"Toxicity of bed sediments from the Niagara River Area of Concern and tributaries, New York, to <i>Chironomus dilutus</i> and <i>Hyalella azteca</i>, 2014-15",US Geological Survey,2016,,https://doi.org/10.3133/ds1016,doi:10.5066/F7FB5129
FALSE,TRUE,"Baseline assessment of groundwater quality in Pike County, Pennsylvania, 2015",US Geological Survey,2017,,https://doi.org/10.3133/sir20175110,doi:10.5066/F75T3JDK
FALSE,TRUE,Characterization of peak streamflows and flood inundation of selected areas in Louisiana from the August 2016 flood,US Geological Survey,2017,,https://doi.org/10.3133/sir20175005,doi:10.5066/F79K48C1
FALSE,TRUE,"Relative abundance of deformed wing virus, Varroa destructor virus 1, and their recombinants in honey bees (Apis mellifera) assessed by kmer analysis of public RNA-Seq data",Elsevier BV,,,https://doi.org/10.1016/j.jip.2017.07.005,doi:10.5066/F7BK1B8P
FALSE,TRUE,"Golden eagle (Aquila chrysaetos) habitat selection as a function of land use and terrain, San Diego County, California",US Geological Survey,2018,,https://doi.org/10.3133/ofr20181067,doi:10.5066/P9OZVGEG
TRUE,TRUE,Ground Squirrel Shooting and Potential Lead Exposure in Breeding Avian Scavengers,Public Library of Science (PLoS),2016,FALSE,https://doi.org/10.1371/journal.pone.0167926,doi:10.5066/F7HM56J1
TRUE,TRUE,"Climatic controls on the global distribution, abundance, and species richness of mangrove forests",Wiley,2017,FALSE,https://doi.org/10.1002/ecm.1248,doi:10.5066/F78C9TDM
TRUE,TRUE,"Flow Management for Hydropower Extirpates Aquatic Insects, Undermining River Food Webs",Oxford University Press (OUP),2016,FALSE,https://doi.org/10.1093/biosci/biw059,doi:10.5066/F7WM1BH4
FALSE,TRUE,"Land-cover changes associated with oil and natural-gas production and concentrations of selected constituents in surface-water and streambed-sediment samples collected upstream from and within an area of oil and natural-gas production, south Texas, 2008â€“17",US Geological Survey,2018,,https://doi.org/10.3133/sir20185119,doi:10.5066/F74J0DDQ
FALSE,TRUE,Parallelization of the TRIGRS model for rainfall-induced landslides using the message passing interface,Elsevier BV,,,https://doi.org/10.1016/j.envsoft.2016.04.002,doi:10.5066/F7ZW1J08
TRUE,TRUE,Regeneration ofMetrosideros polymorphaforests in Hawaii after landscapeâ€level canopy dieback,Wiley,2019,FALSE,https://doi.org/10.1111/jvs.12704,doi:10.5066/P97OSO15
FALSE,TRUE,Agriculture â€” A river runs through it â€” The connections between agriculture and water quality,US Geological Survey,2018,,https://doi.org/10.3133/cir1433,doi:10.5066/F7639MZX
TRUE,TRUE,"Host contact and shedding patterns clarify variation in pathogen exposure and transmission in threatened tortoise
            Gopherus agassizii
            : implications for disease modelling and management",Wiley,2016,FALSE,https://doi.org/10.1111/1365-2656.12511,doi:10.5066/F78W3BC8
TRUE,TRUE,Divergence of seafloor elevation and sea level rise in coral reef ecosystems,Copernicus GmbH,2017,FALSE,https://doi.org/10.5194/bg-14-1739-2017,doi:10.5066/P93NZA95
FALSE,TRUE,"Zircon-hosted melt inclusion record of silicic magmatism in the Mesoproterozoic St. Francois Mountains terrane, Missouri: Origin of the Pea Ridge iron oxide-apatite-rare earth element deposit and implications for regional crustal pathways of mineralization",Elsevier BV,,,https://doi.org/10.1016/j.gca.2019.12.032,doi:10.5066/P9TFVXR5
FALSE,TRUE,Userâ€™s guide to the North Pacific Pelagic Seabird Database 2.0,US Geological Survey,2015,,https://doi.org/10.3133/ofr20151123,doi:10.5066/F7WQ01T3
FALSE,TRUE,Time-to-Detection Occupancy Modeling: An Efficient Method for Analyzing the Occurrence of Amphibians and Reptiles,Society for the Study of Amphibians and Reptiles,,,https://doi.org/10.1670/18-049,doi:10.5066/P9A9LA1O
FALSE,TRUE,"Continued geophysical logging near the GMH Electronics National Priorities List Superfund site near Roxboro, North Carolina",US Geological Survey,2017,,https://doi.org/10.3133/ds1022,doi:10.5066/F7FX77JP
FALSE,TRUE,"Description of gravity cores from San Pablo Bay and Carquinez Strait, San Francisco Bay, California",US Geological Survey,2017,,https://doi.org/10.3133/ofr20171078,doi:10.5066/F7XG9PB0
TRUE,TRUE,"A conservation planning tool for Greater Sage-grouse using indices of species distribution, resilience, and resistance",Wiley,2018,FALSE,https://doi.org/10.1002/eap.1690,doi:10.5066/F7TT4Q5S
TRUE,TRUE,Anatomy of a Caldera Collapse: KÄ«lauea 2018 Summit Seismicity Sequence in High Resolution,American Geophysical Union (AGU),2019,FALSE,https://doi.org/10.1029/2019GL085636,doi:10.5066/P9DMIFMW
FALSE,TRUE,Onshore industrial wind turbine locations for the United States,US Geological Survey,2017,,https://doi.org/10.3133/ds817,doi:10.5066/F7X06561
FALSE,TRUE,Development of a Fluvial Egg Drift Simulator to evaluate the transport and dispersion of Asian carp eggs in rivers,Elsevier BV,,,https://doi.org/10.1016/j.ecolmodel.2013.05.005,doi:10.5066/P93UCQR2
TRUE,TRUE,Divergence of seafloor elevation and sea level rise in coral reef ecosystems,Copernicus GmbH,2017,FALSE,https://doi.org/10.5194/bg-14-1739-2017,doi:10.5066/P9JMC8CX
FALSE,TRUE,"Occurrence of cyanobacteria, microcystin, and taste-and-odor compounds in Cheney Reservoir, Kansas, 2001-16",US Geological Survey,2017,,https://doi.org/10.3133/sir20175016,doi:10.5066/F7ZG6QFX
FALSE,TRUE,"Controls on spatial and temporal variations of brine discharge to the Dolores River in the Paradox Valley, Colorado, 2016â€“18",US Geological Survey,2019,,https://doi.org/10.3133/sir20195058,doi:10.5066/F77080NB
FALSE,TRUE,"Spatially referenced models of streamflow and nitrogen, phosphorus, and suspended-sediment transport in streams of the southwestern United States",US Geological Survey,2019,,https://doi.org/10.3133/sir20195106,doi:10.5066/P9GFLBG8
TRUE,TRUE,"Seaâ€level rise, habitat loss, and potential extirpation of a salt marsh specialist bird in urbanized landscapes",Wiley,2018,FALSE,https://doi.org/10.1002/ece3.4196,doi:10.5066/F70Z728B
TRUE,TRUE,Modeling Ash Dispersal From Future Eruptions of Taupo Supervolcano,American Geophysical Union (AGU),2019,FALSE,https://doi.org/10.1029/2018GC008152,doi:10.5066/P9VCPQ3I
FALSE,TRUE,"California sea otter (Enhydra lutris nereis) census results, Spring 2017",US Geological Survey,2017,,https://doi.org/10.3133/ds1067,doi:10.5066/F7R2109J
FALSE,TRUE,Shallow bedrock limits groundwater seepage-based headwater climate refugia,Elsevier BV,,,https://doi.org/10.1016/j.limno.2017.02.005,doi:10.5066/F7JW8C04
FALSE,TRUE,"Elevated Manganese Concentrations in United States Groundwater, Role of Land Surfaceâ€“Soilâ€“Aquifer Connections",American Chemical Society (ACS),2018,,https://doi.org/10.1021/acs.est.8b04055,doi:10.5066/P9Y4GOFQ
FALSE,TRUE,Patterns and correlates of giant sequoia foliage dieback during Californiaâ€™s 2012â€“2016 hotter drought,Elsevier BV,,,https://doi.org/10.1016/j.foreco.2017.10.053,doi:10.5066/F7Z31XND
TRUE,TRUE,Integrating anthropogenic factors into regionalâ€scale species distribution modelsâ€”A novel application in the imperiled sagebrush biome,Wiley,2019,FALSE,https://doi.org/10.1111/gcb.14728,doi:10.5066/P9NQNH41
FALSE,TRUE,An evaluation of the zooplankton community at the Sheboygan River Area of Concern and non-Area of Concern comparison sites in western Lake Michigan rivers and harbors in 2016,US Geological Survey,2017,,https://doi.org/10.3133/sir20175131,doi:10.5066/F7QV3KD9
FALSE,TRUE,Identification of single nucleotide polymorphisms for use in a genetic stock identification system for greater white-fronted goose (Anser albifrons) subspecies wintering in California,US Geological Survey,2019,,https://doi.org/10.3133/ofr20191040,doi:10.5066/P9LYUFRH
TRUE,TRUE,Western gray squirrel resource selection related to fire fuel management,Wiley,2018,FALSE,https://doi.org/10.1002/jwmg.21499,doi:10.5066/F7ZG6QQH
FALSE,TRUE,Probability of Streamflow Permanence Model (PROSPER): A spatially continuous model of annual streamflow permanence throughout the Pacific Northwest,Elsevier BV,,,https://doi.org/10.1016/j.hydroa.2018.100005,doi:10.5066/F7BV7FSP
FALSE,TRUE,Rangeland Monitoring Reveals Long-term Plant Responses to Precipitation and Grazing at the Landscape Scale,Elsevier BV,,,https://doi.org/10.1016/j.rama.2015.09.004,doi:10.5066/F75D8PZ5
TRUE,TRUE,Sampling Strategies to Improve Passive Optical Remote Sensing of River Bathymetry,MDPI AG,2018,TRUE,https://doi.org/10.3390/rs10060935,doi:10.5066/F7HT2N96
TRUE,TRUE,Permafrost Hydrology Drives the Assimilation of Old Carbon by Stream Food Webs in the Arctic,Springer Science and Business Media LLC,2019,TRUE,https://doi.org/10.1007/s10021-019-00413-6,doi:10.5066/P9NAUIQR
TRUE,TRUE,"A 130,000-year-old archaeological site in southern California, USA",Springer Science and Business Media LLC,2017,FALSE,https://doi.org/10.1038/nature22065,doi:10.5066/F7HD7SW7
FALSE,TRUE,"Flood-inundation maps for the Salamonie River at Portland, Indiana",US Geological Survey,2018,,https://doi.org/10.3133/sir20185132,doi:10.5066/F7VM4BJD
FALSE,TRUE,"FishVis, A regional decision support tool for identifying vulnerabilities of riverine habitat and fishes to climate change in the Great Lakes Region",US Geological Survey,2016,,https://doi.org/10.3133/sir20165124,doi:10.5066/F74T6GGG
FALSE,TRUE,"Predicted pH at the domestic and public supply drinking water depths, Central Valley, California",US Geological Survey,2017,,https://doi.org/10.3133/sim3377,doi:10.5066/F7FX77K4
TRUE,TRUE,Seeking shelter from the storm: Conservation and management of imperiled species in a changing climate,Wiley,2019,FALSE,https://doi.org/10.1002/ece3.5277,doi:10.5066/P9V4A2GV
FALSE,TRUE,"Characterizing variability in vertical profiles of streamwise velocity and implications for streamgaging practices in the Chicago Sanitary and Ship Canal near Lemont, Illinois, January 2014 to July 2017",US Geological Survey,2018,,https://doi.org/10.3133/sir20185128,doi:10.5066/F7G73D0G
FALSE,TRUE,Using a Bayesian framework to account for advection in seven years of snowpack CO2 fluxes in a mortality-impacted subalpine forest,Elsevier BV,,,https://doi.org/10.1016/j.agrformet.2017.11.004,doi:10.5066/F7K35SJH
FALSE,TRUE,"Bathymetric surveys of the Neosho River, Spring River, and Elk River, northeastern Oklahoma and southwestern Missouri, 2016â€“17",US Geological Survey,2017,,https://doi.org/10.3133/sir20175101,doi:10.5066/F71N7ZMS
FALSE,TRUE,The Mississippi Alluvial Plain aquifersâ€”An engine for economic activity,US Geological Survey,2019,,https://doi.org/10.3133/fs20193003,doi:10.5066/P9RW8Y2A
FALSE,TRUE,"Quantifying anthropogenic contributions to century-scale groundwater salinity changes, San Joaquin Valley, California, USA",Elsevier BV,,,https://doi.org/10.1016/j.scitotenv.2018.05.333,doi:10.5066/F7319T3K
TRUE,TRUE,Songbird feathers as indicators of mercury exposure: high variability and low predictive power suggest limitations,Springer Science and Business Media LLC,2019,FALSE,https://doi.org/10.1007/s10646-019-02052-y,doi:10.5066/P9C2S6DQ
TRUE,TRUE,New Seismic Hazard Maps for Puerto Rico and the U.S. Virgin Islands,SAGE Publications,2010,FALSE,https://doi.org/10.1193/1.3277667,doi:10.5066/P9JYH45T
FALSE,TRUE,"Compilation of new and previously published geochemical and modal data for Mesoproterozoic igneous rocks of the St. Francois Mountains, southeast Missouri",US Geological Survey,2018,,https://doi.org/10.3133/ds1080,doi:10.5066/F79W0DSN
FALSE,TRUE,"Flood-inundation maps for North Fork Salt Creek at Nashville, Indiana",US Geological Survey,2017,,https://doi.org/10.3133/sir20175127,doi:10.5066/F7VQ316V
TRUE,TRUE,Longâ€term video surveillance and automated analyses reveal arousal patterns in groups of hibernating bats,Wiley,2017,FALSE,https://doi.org/10.1111/2041-210X.12823,doi:10.5066/F75X27DH
TRUE,TRUE,Optimization of on-line hydrogen stable isotope ratio measurements of halogen- and sulfur-bearing organic compounds using elemental analyzer-chromium/high-temperature conversion isotope ratio mass spectrometry (EA-Cr/HTC-IRMS),Wiley,2017,FALSE,https://doi.org/10.1002/rcm.7810,doi:10.5066/F7HD7STB
TRUE,TRUE,An extirpated lineage of a threatened frog species resurfaces in southern California,Cambridge University Press (CUP),2017,FALSE,https://doi.org/10.1017/S0030605317001168,doi:10.5066/F7C82870
TRUE,TRUE,"Rates and patterns of surface deformation from laser scanning following the South Napa earthquake, California",Geological Society of America,2015,FALSE,https://doi.org/10.1130/GES01189.1,doi:10.5066/F71N7Z89
FALSE,TRUE,"Uranium delivery and uptake in a montane wetland, north-central Colorado, USA",Elsevier BV,,,https://doi.org/10.1016/j.apgeochem.2017.01.001,doi:10.5066/F70Z71DQ
FALSE,TRUE,Data analysis considerations for pesticides determined by National Water Quality Laboratory schedule 2437,US Geological Survey,2018,,https://doi.org/10.3133/sir20185007,doi:10.5066/F75H7DS8
TRUE,TRUE,Linking spring phenology with mechanistic models of host movement to predict disease transmission risk,Wiley,2017,FALSE,https://doi.org/10.1111/1365-2664.13022,doi:10.5066/F7474803
TRUE,TRUE,Prey fish returned to Forsterâ€™s tern colonies suggest spatial and temporal differences in fish composition and availability,Public Library of Science (PLoS),2018,FALSE,https://doi.org/10.1371/journal.pone.0193430,doi:10.5066/F7PG1QXT
FALSE,TRUE,Potential corrosivity of untreated groundwater in the United States,US Geological Survey,2016,,https://doi.org/10.3133/sir20165092,doi:10.5066/F7XW4GWX
TRUE,TRUE,Transient population dynamics impede restoration and may promote ecosystem transformation after disturbance,Wiley,2019,FALSE,https://doi.org/10.1111/ele.13291,doi:10.5066/P944D1YU
FALSE,TRUE,"Mineral resources of the Sagebrush Focal Areas of Idaho, Montana, Nevada, Oregon, Utah, and Wyoming",US Geological Survey,2016,,https://doi.org/10.3133/sir20165089,doi:10.5066/F7833Q4R
FALSE,TRUE,"Water-quality trends in the nationâ€™s rivers and streams, 1972â€“2012â€”Data preparation, statistical methods, and trend results",US Geological Survey,2017,,https://doi.org/10.3133/sir20175006,doi:10.5066/F7G44ND3
