ID,dr_doi,primary,rel_pub_url,journal_name,usgs_pub,pubyear,doi_referenced,doi_location,doi_loc_description,other_reference,other_ref_type,other_ref_location,other_ref_loc_description,notes,Publisher,Linked_From_Landing_Page
69,doi:10.5066/F7FB5129,TRUE,https://doi.org/10.3133/ds1016,,,,,,,,,,,,,
70,doi:10.5066/F75T3JDK,TRUE,https://doi.org/10.3133/sir20175110,,,,,,,,,,,,,
71,doi:10.5066/F79K48C1,TRUE,https://doi.org/10.3133/sir20175005,,,,,,,,,,,,,
72,doi:10.5066/F7BK1B8P,TRUE,https://doi.org/10.1016/j.jip.2017.07.005,,,,,,,,,,,,,
73,doi:10.5066/P9OZVGEG,TRUE,https://doi.org/10.3133/ofr20181067,,,,,,,,,,,,,
74,doi:10.5066/F7HM56J1,TRUE,https://doi.org/10.1371/journal.pone.0167926,,,,,,,,,,,,,
75,doi:10.5066/F78C9TDM,TRUE,https://doi.org/10.1002/ecm.1248,,,,,,,,,,,,,
76,doi:10.5066/F7WM1BH4,TRUE,https://doi.org/10.1093/biosci/biw059,,,,,,,,,,,,,
77,doi:10.5066/F74J0DDQ,TRUE,https://doi.org/10.3133/sir20185119,,,,,,,,,,,,,
78,doi:10.5066/F7ZW1J08,TRUE,https://doi.org/10.1016/j.envsoft.2016.04.002,,,,,,,,,,,,,
79,doi:10.5066/P97OSO15,TRUE,https://doi.org/10.1111/jvs.12704,,,,,,,,,,,,,
80,doi:10.5066/F7639MZX,TRUE,https://doi.org/10.3133/cir1433,,,,,,,,,,,,,
81,doi:10.5066/F78W3BC8,TRUE,https://doi.org/10.1111/1365-2656.12511,,,,,,,,,,,,,
82,doi:10.5066/P93NZA95,TRUE,https://doi.org/10.5194/bg-14-1739-2017,,,,,,,,,,,,,
83,doi:10.5066/P9TFVXR5,TRUE,https://doi.org/10.1016/j.gca.2019.12.032,,,,,,,,,,,,,
84,doi:10.5066/F7WQ01T3,TRUE,https://doi.org/10.3133/ofr20151123,,,,,,,,,,,,,
85,doi:10.5066/P9A9LA1O,TRUE,https://doi.org/10.1670/18-049,,,,,,,,,,,,,
86,doi:10.5066/F7FX77JP,TRUE,https://doi.org/10.3133/ds1022,,,,,,,,,,,,,
87,doi:10.5066/F7XG9PB0,TRUE,https://doi.org/10.3133/ofr20171078,,,,,,,,,,,,,
88,doi:10.5066/F7TT4Q5S,TRUE,https://doi.org/10.1002/eap.1690,,,,,,,,,,,,,
89,doi:10.5066/P9DMIFMW,TRUE,https://doi.org/10.1029/2019GL085636,,,,,,,,,,,,,
90,doi:10.5066/F7X06561,TRUE,https://doi.org/10.3133/ds817,,,,,,,,,,,,,
91,doi:10.5066/P93UCQR2,TRUE,https://doi.org/10.1016/j.ecolmodel.2013.05.005,,,,,,,,,,,,,
92,doi:10.5066/P9JMC8CX,TRUE,https://doi.org/10.5194/bg-14-1739-2017,,,,,,,,,,,,,
93,doi:10.5066/F7ZG6QFX,TRUE,https://doi.org/10.3133/sir20175016,,,,,,,,,,,,,
94,doi:10.5066/F77080NB,TRUE,https://doi.org/10.3133/sir20195058,,,,,,,,,,,,,
95,doi:10.5066/P9GFLBG8,TRUE,https://doi.org/10.3133/sir20195106,,,,,,,,,,,,,
96,doi:10.5066/F70Z728B,TRUE,https://doi.org/10.1002/ece3.4196,,,,,,,,,,,,,
97,doi:10.5066/P9VCPQ3I,TRUE,https://doi.org/10.1029/2018GC008152,,,,,,,,,,,,,
98,doi:10.5066/F7R2109J,TRUE,https://doi.org/10.3133/ds1067,,,,,,,,,,,,,
99,doi:10.5066/F7JW8C04,TRUE,https://doi.org/10.1016/j.limno.2017.02.005,,,,,,,,,,,,,
100,doi:10.5066/P9Y4GOFQ,TRUE,https://doi.org/10.1021/acs.est.8b04055,,,,,,,,,,,,,
101,doi:10.5066/F7Z31XND,TRUE,https://doi.org/10.1016/j.foreco.2017.10.053,,,,,,,,,,,,,
102,doi:10.5066/P9NQNH41,TRUE,https://doi.org/10.1111/gcb.14728,,,,,,,,,,,,,
103,doi:10.5066/F7QV3KD9,TRUE,https://doi.org/10.3133/sir20175131,,,,,,,,,,,,,
104,doi:10.5066/P9LYUFRH,TRUE,https://doi.org/10.3133/ofr20191040,,,,,,,,,,,,,
105,doi:10.5066/F7ZG6QQH,TRUE,https://doi.org/10.1002/jwmg.21499,,,,,,,,,,,,,
106,doi:10.5066/F7BV7FSP,TRUE,https://doi.org/10.1016/j.hydroa.2018.100005,,,,,,,,,,,,,
107,doi:10.5066/F75D8PZ5,TRUE,https://doi.org/10.1016/j.rama.2015.09.004,,,,,,,,,,,,,
108,doi:10.5066/F7HT2N96,TRUE,https://doi.org/10.3390/rs10060935,,,,,,,,,,,,,
109,doi:10.5066/P9NAUIQR,TRUE,https://doi.org/10.1007/s10021-019-00413-6,,,,,,,,,,,,,
110,doi:10.5066/F7HD7SW7,TRUE,https://doi.org/10.1038/nature22065,,,,,,,,,,,,,
111,doi:10.5066/F7VM4BJD,TRUE,https://doi.org/10.3133/sir20185132,,,,,,,,,,,,,
112,doi:10.5066/F74T6GGG,TRUE,https://doi.org/10.3133/sir20165124,,,,,,,,,,,,,
113,doi:10.5066/F7FX77K4,TRUE,https://doi.org/10.3133/sim3377,,,,,,,,,,,,,
114,doi:10.5066/P9V4A2GV,TRUE,https://doi.org/10.1002/ece3.5277,,,,,,,,,,,,,
115,doi:10.5066/F7G73D0G,TRUE,https://doi.org/10.3133/sir20185128,,,,,,,,,,,,,
116,doi:10.5066/F7K35SJH,TRUE,https://doi.org/10.1016/j.agrformet.2017.11.004,,,,,,,,,,,,,
117,doi:10.5066/F71N7ZMS,TRUE,https://doi.org/10.3133/sir20175101,,,,,,,,,,,,,
118,doi:10.5066/P9RW8Y2A,TRUE,https://doi.org/10.3133/fs20193003,,,,,,,,,,,,,
119,doi:10.5066/F7319T3K,TRUE,https://doi.org/10.1016/j.scitotenv.2018.05.333,,,,,,,,,,,,,
120,doi:10.5066/P9C2S6DQ,TRUE,https://doi.org/10.1007/s10646-019-02052-y,,,,,,,,,,,,,
121,doi:10.5066/P9JYH45T,TRUE,https://doi.org/10.1193/1.3277667,,,,,,,,,,,,,
122,doi:10.5066/F79W0DSN,TRUE,https://doi.org/10.3133/ds1080,,,,,,,,,,,,,
123,doi:10.5066/F7VQ316V,TRUE,https://doi.org/10.3133/sir20175127,,,,,,,,,,,,,
124,doi:10.5066/F75X27DH,TRUE,https://doi.org/10.1111/2041-210X.12823,,,,,,,,,,,,,
125,doi:10.5066/F7HD7STB,TRUE,https://doi.org/10.1002/rcm.7810,,,,,,,,,,,,,
126,doi:10.5066/F7C82870,TRUE,https://doi.org/10.1017/S0030605317001168,,,,,,,,,,,,,
127,doi:10.5066/F71N7Z89,TRUE,https://doi.org/10.1130/GES01189.1,,,,,,,,,,,,,
128,doi:10.5066/F70Z71DQ,TRUE,https://doi.org/10.1016/j.apgeochem.2017.01.001,,,,,,,,,,,,,
129,doi:10.5066/F75H7DS8,TRUE,https://doi.org/10.3133/sir20185007,,,,,,,,,,,,,
130,doi:10.5066/F7474803,TRUE,https://doi.org/10.1111/1365-2664.13022,,,,,,,,,,,,,
131,doi:10.5066/F7PG1QXT,TRUE,https://doi.org/10.1371/journal.pone.0193430,,,,,,,,,,,,,
132,doi:10.5066/F7XW4GWX,TRUE,https://doi.org/10.3133/sir20165092,,,,,,,,,,,,,
133,doi:10.5066/P944D1YU,TRUE,https://doi.org/10.1111/ele.13291,,,,,,,,,,,,,
134,doi:10.5066/F7833Q4R,TRUE,https://doi.org/10.3133/sir20165089,,,,,,,,,,,,,
135,doi:10.5066/F7G44ND3,TRUE,https://doi.org/10.3133/sir20175006,,,,,,,,,,,,,
136,doi:10.5066/F7H70F3D,TRUE,https://doi.org/10.2134/jeq2017.11.0461,,,,,,,,,,,,,
137,doi:10.5066/P9LVCANT,TRUE,https://doi.org/10.1029/2019WR025908,,,,,,,,,,,,,
138,doi:10.5066/P9445ZGC,TRUE,https://doi.org/10.3113/sir20185056,,,,,,,,,,,,,
139,doi:10.5066/F7H70D0N,TRUE,https://doi.org/10.1021/acs.est.6b05745,,,,,,,,,,,,,
140,doi:10.5066/P9PFQGVC,TRUE,https://doi.org/10.1130/B32031.1,,,,,,,,,,,,,
141,doi:10.5066/P9SWDWLS,TRUE,https://doi.org/10.1016/j.jaridenv.2017.12.008,,,,,,,,,,,,,
142,doi:10.5066/P9U67LQX,TRUE,https://doi.org/10.1111/gcb.14374,,,,,,,,,,,,,
143,doi:10.5066/F7SN07DK,TRUE,https://doi.org/10.1111/rec.12559,,,,,,,,,,,,,
144,doi:10.5066/F76971Q2,TRUE,https://doi.org/10.1016/j.scitotenv.2016.07.003,,,,,,,,,,,,,
145,doi:10.5066/F7ZK5F5P,TRUE,https://doi.org/10.1007/s13157-018-1011-z,,,,,,,,,,,,,
146,doi:10.5066/P92UNY4F,TRUE,https://doi.org/10.3133/pp1864,,,,,,,,,,,,,
147,doi:10.5066/F70C4V08,TRUE,https://doi.org/10.1016/j.enpol.2018.01.052,,,,,,,,,,,,,
148,doi:10.5066/F79885XC,TRUE,https://doi.org/10.3133/sim3393,,,,,,,,,,,,,
149,doi:10.5066/P9VTVU6Q,TRUE,https://doi.org/10.1029/2019JF005369,,,,,,,,,,,,,
150,doi:10.5066/P9GEHLC5,TRUE,https://doi.org/10.1016/j.foreco.2019.04.055,,,,,,,,,,,,,
151,doi:10.5066/P9FPXQTP,TRUE,https://doi.org/10.7589/2018-05-128,,,,,,,,,,,,,
152,doi:10.5066/P9CJ2YZQ,TRUE,https://doi.org/10.1002/ece3.5118,,,,,,,,,,,,,
153,doi:10.5066/F7VX0F1H,TRUE,https://doi.org/10.1111/jfd.12740,,,,,,,,,,,,,
154,doi:10.5066/P9CV4XEO,TRUE,https://doi.org/10.1080/24705357.2019.1662339,,,,,,,,,,,,,
155,doi:10.5066/F7K35RRS,TRUE,https://doi.org/10.3133/ofr20151165,,,,,,,,,,,,,
156,doi:10.5066/P973YRPL,TRUE,https://doi.org/10.3133/ofr20191094,,,,,,,,,,,,,
157,doi:10.5066/F7CR5S4T,TRUE,https://doi.org/10.1016/j.envsoft.2017.12.021,,,,,,,,,,,,,
158,doi:10.5066/P9CAC0F6,TRUE,https://doi.org/10.3133/sir20195138,,,,,,,,,,,,,
159,doi:10.5066/F74X560J,TRUE,https://doi.org/10.3133/ofr20181159,,,,,,,,,,,,,
160,doi:10.5066/P9S4MOB6,TRUE,https://doi.org/10.3133/sir20195122,,,,,,,,,,,,,
161,doi:10.5066/F7DZ07HM,TRUE,https://doi.org/10.1080/09640568.2018.1435411,,,,,,,,,,,,,
162,doi:10.5066/F7610XJ5,TRUE,https://doi.org/10.1016/j.geodrs.2017.05.004,,,,,,,,,,,,,
163,doi:10.5066/F7319V2J,TRUE,https://doi.org/10.3133/sir20175157,,,,,,,,,,,,,
164,doi:10.5066/P98NDNB4,TRUE,https://doi.org/10.5194/bg-14-1739-2017,,,,,,,,,,,,,
165,doi:10.5066/F7QZ296Z,TRUE,https://doi.org/10.3133/sir20185115,,,,,,,,,,,,,
166,doi:10.5066/P99TRHPB,TRUE,https://doi.org/10.1029/2018JG004613,,,,,,,,,,,,,
167,doi:10.5066/P9PNNI9H,TRUE,https://doi.org/10.3133/ofr20191072,,,,,,,,,,,,,
168,doi:10.5066/F75T3HN9,TRUE,https://doi.org/10.3133/sir20175095,,,,,,,,,,,,,
169,doi:10.5066/F74Q7SWX,TRUE,https://doi.org/10.3390/f9110715,,,,,,,,,,,,,
170,doi:10.5066/F7WW7G4W,TRUE,https://doi.org/10.3133/ofr20191008,,,,,,,,,,,,,
171,doi:10.5066/F7RJ4GP7,TRUE,https://doi.org/10.5066/F7RJ4GP7,,,,,,,,,,,,,
172,doi:10.5066/F7NK3CJ7,TRUE,https://doi.org/10.1002/rra.3270,,,,,,,,,,,,,
173,doi:10.5066/F77D2SC4,TRUE,https://doi.org/10.1021/acs.est.7b00746,,,,,,,,,,,,,
174,doi:10.5066/F7WH2P6K,TRUE,https://doi.org/10.3133/sir20185018,,,,,,,,,,,,,
175,doi:10.5066/F7VH5N3N,TRUE,https://doi.org/10.3133/sir20185070,,,,,,,,,,,,,
176,doi:10.5066/P9YMIVFU,TRUE,https://doi.org/10.1111/jbi.13428,,,,,,,,,,,,,
177,doi:10.5066/F757194G,TRUE,https://doi.org/10.3133/sir20175034,,,,,,,,,,,,,
178,doi:10.5066/F75X274X,TRUE,https://doi.org/10.3133/ofr20171068,,,,,,,,,,,,,
179,doi:10.5066/F7ZK5DSB,TRUE,https://doi.org/10.1016/j.jaridenv.2016.04.004,,,,,,,,,,,,,
180,doi:10.5066/F7222SP5,TRUE,https://doi.org/10.3133/sir20175078,,,,,,,,,,,,,
181,doi:10.5066/F7ZC80ZP,TRUE,https://doi.org/10.1021/acs.est.6b02917,,,,,,,,,,,,,
182,doi:10.5066/F7FX77XM,TRUE,https://doi.org/10.3133/ofr20171096,,,,,,,,,,,,,
183,doi:10.5066/P9RITFNL,TRUE,https://doi.org/10.3133/sir20185106,,,,,,,,,,,,,
184,doi:10.5066/F7154FH8,TRUE,https://doi.org/10.3398/064.077.0309,,,,,,,,,,,,,
185,doi:10.5066/P9Y2R3LV,TRUE,https://doi.org/10.3389/fevo.2018.00179,,,,,,,,,,,,,
186,doi:10.5066/P937PN4Z,TRUE,https://doi.org/10.1016/j.isprsjprs.2018.09.006,,,,,,,,,,,,,
